epoch,accuracy,loss,val_accuracy,val_loss
0,0.662289559841156,1.0111678838729858,0.5106339454650879,1.0113413333892822
1,0.7750241756439209,0.7685114741325378,0.5810633897781372,0.9796375632286072
2,0.8368932604789734,0.6545003056526184,0.6839264035224915,0.9170619249343872
3,0.8891515731811523,0.5645287036895752,0.6893251538276672,1.0456522703170776
4,0.9179789423942566,0.5149340033531189,0.6915337443351746,1.1814303398132324
5,0.9373599290847778,0.47979283332824707,0.6862576603889465,1.2819017171859741
6,0.9482659101486206,0.45473045110702515,0.6885480284690857,1.3856743574142456
7,0.954459011554718,0.4437759816646576,0.684417188167572,1.4325600862503052
8,0.9821608662605286,0.36399000883102417,0.698977530002594,1.5511034727096558
9,0.9977591633796692,0.28539004921913147,0.7027812004089355,1.6246042251586914
10,0.9988436102867126,0.24220196902751923,0.702290415763855,1.645330548286438
11,0.9989669919013977,0.2074725180864334,0.703353762626648,1.6613339185714722
12,0.9990748763084412,0.17684832215309143,0.7037627696990967,1.7120392322540283
13,0.999259889125824,0.1556277573108673,0.7011861205101013,1.7190369367599487
14,0.9994038343429565,0.1410888284444809,0.7021268010139465,1.7507706880569458
15,0.9994346499443054,0.12815086543560028,0.7022494673728943,1.7687073945999146
16,0.9993575811386108,0.11621302366256714,0.7001636028289795,1.8124512434005737
17,0.9994089603424072,0.1045820415019989,0.701636016368866,1.8029478788375854
18,0.9995065927505493,0.09598822891712189,0.7014724016189575,1.844649314880371
19,0.9994860291481018,0.08973484486341476,0.700040876865387,1.8957098722457886
20,0.9994449615478516,0.08413329720497131,0.7002044916152954,1.9465901851654053
21,0.9994449615478516,0.07862677425146103,0.6991410851478577,1.946001410484314
22,0.9994603395462036,0.07317205518484116,0.6938650012016296,2.037336826324463
0,0.6619092226028442,1.0223536491394043,0.5058895945549011,1.041364312171936
1,0.7845168113708496,0.7624112963676453,0.5787321329116821,0.9926925301551819
2,0.8441810607910156,0.6546985507011414,0.6905521750450134,0.9210023880004883
3,0.8930832743644714,0.5699108242988586,0.688384473323822,1.0802419185638428
4,0.9201375246047974,0.5214515924453735,0.6913701295852661,1.2007019519805908
5,0.9358643293380737,0.49472948908805847,0.6859713792800903,1.326458215713501
6,0.9488210082054138,0.4711953103542328,0.6887116432189941,1.3869757652282715
7,0.9547057151794434,0.4571971893310547,0.6842944622039795,1.473431944847107
8,0.9825565814971924,0.3778529763221741,0.7081390619277954,1.4987199306488037
9,0.9979133605957031,0.29771628975868225,0.7080981731414795,1.5497539043426514
10,0.9988847374916077,0.2540302574634552,0.7100613713264465,1.5900859832763672
11,0.9989001750946045,0.21888087689876556,0.7087116837501526,1.5833607912063599
12,0.9990748763084412,0.18701954185962677,0.7089979648590088,1.6022173166275024
13,0.9993164539337158,0.1642817109823227,0.7087116837501526,1.6153225898742676
14,0.9993987083435059,0.14927874505519867,0.7090797424316406,1.633264183998108
15,0.9993935227394104,0.13600891828536987,0.7080572843551636,1.6515278816223145
16,0.999424397945404,0.12319725751876831,0.707280158996582,1.6617732048034668
17,0.9994038343429565,0.11120579391717911,0.7070347666740417,1.6904866695404053
18,0.9995169043540955,0.10198673605918884,0.7067893743515015,1.7105445861816406
19,0.9995271563529968,0.09526154398918152,0.7067893743515015,1.7419205904006958
20,0.9994706511497498,0.08942663669586182,0.7060531973838806,1.7632567882537842
21,0.9994397759437561,0.08360086381435394,0.7052351832389832,1.7788498401641846
22,0.9994809031486511,0.07788364589214325,0.7023721933364868,1.8219833374023438
23,0.9996042847633362,0.07321377843618393,0.7047034502029419,1.815369725227356
24,0.9996967911720276,0.06940489262342453,0.7041717767715454,1.843869686126709
