,Unnamed: 0,smiles,targets
109,109,CCc1nc(C(O)=O)c(C#N)n1-c1cnc(CCC(F)(F)F)cc1OC,0.0
112,112,Cc1cc(Br)c(C=O)cc1F,0.0
117,117,CCOC(C1(C)CC(c2ccc(C)cc2)=C(C#N)C(O)=N1)=O,0.0
119,119,CNCCN(C)Cc1c[nH]nc1C1CCC(O)C2(CCCC2)C1,0.0
120,120,c1cc(Cn2c3c(c(Cl)[nH]c(=N)n3)nn2)nc(N2CCCC2=O)c1,0.0
123,123,CC(CCC1CCCCC1)c1ccc(N)cc1,0.0
124,124,COc1cc2c(c(N3CCN(CC(F)(F)F)CC3)c1)OC(C(=O)O)CC2,0.0
125,125,c1ccc(N(Cc2c(F)cc(-c3nnc(C(F)(F)F)o3)cc2F)C(N2CCOCC2)=O)cc1,0.0
126,126,CC(C)CC1c2ccc(C)cc2C(c2ccccc2Cl)CN(CC(=O)O)C1=O,0.0
128,128,c1cc(OCC2CNC2)ccc1C1(C#N)CCOCC1,0.0
134,134,Cc1nc(-c2ccc(-n3cc4c(n3)CCNCC4)cc2)on1,0.0
135,135,Cc1cc2c3c(n(CCc4ccc(C(F)(F)F)nc4)c2cn1)CCN(C)C3,0.0
136,136,Cc1ccncc1N1CCN(c2ccc(C(NC)=O)cc2)C1=O,0.0
140,140,Cc1ccccc1C(N1CCc2cc(N3CCC(N)C3)ccc21)=O,0.0
141,141,Cc1cc2ncc(C(=O)O)n2nc1-c1ccccc1C(F)(F)F,0.0
147,147,C1C[C@@H](N)C2(C1)CCN(c1cnc(Sc3ccnc(Cl)c3Cl)c(N)n1)CC2,0.0
148,148,c1cc(CNC(c2cc(Br)c(C(O)=O)s2)=O)cc(O)c1,0.0
150,150,c1c(CC(=O)O)c(Cl)c(Cl)cc1[N+]([O-])=O,0.0
152,152,CC1=NN(C)C(=O)C(c2c(Cl)ccc(Cl)c2O)C1=O,0.0
155,155,CNc1cccc(COCc2ccc(C[C@@H](C(=O)OC)N)cc2)n1,0.0
156,156,CS(N[C@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)n3)cc2C1)(=O)=O,0.0
159,159,CCS(N1CCC(Cn2c(C)c(N=C(c3cc(C(N)=O)nc4ccccc34)O)c(C)n2)CC1)(=O)=O,0.0
160,160,Cc1ccc(CN=c2c3cn(Cc4ccc(Cn5cccn5)cc4)[nH]c-3ncn2)c(OC)c1,0.0
161,161,c1cc(Cl)c(N2COc3c(cnc(Nc4ccc5c(c4)CCCN5)n3)C2=O)c(Cl)c1,0.0
162,162,C(=C/C(=O)ON=[N+]=[N-])\c1csc2ccsc12,0.0
164,164,CCn1c(-c2cn(COC(C(C)(C)C)=O)c3c2cc(Br)cn3)ccn1,0.0
166,166,Cc1c2cccnc2c(O)c2c1C(=O)N(Cc1ccc3c(c1)OCO3)C2=O,0.0
168,168,COC(c1cc(C2CCNCC2)c2c(C3CCC3)nn(-c3ccc(F)cc3)c2n1)=O,0.0
169,169,c1cc(F)c2c(c1)S(=O)(=O)c1ccc(C(=O)O)cc1N=C2O,0.0
172,172,CCN(CCCl)C(C(=Cc1cc([N+]([O-])=O)c(OC)c(OC)c1)C#N)=O,0.0
177,177,c1c(F)c(NN)cc2c1S(=O)CN2,0.0
178,178,CNC(c1c(O)c(=O)cc(CNS(c2ccccc2Cl)(=O)=O)n1C)=O,0.0
182,182,CCOC(c1c2c(cc(CCCF)cn2)oc1N=C(O)OC(C)(C)C)=O,0.0
185,185,CNS(c1ccc(N2CCCC(O)C2)c(C(=O)O)c1)(=O)=O,0.0
189,189,CC(c1ccc2c(c1)sc(O)n2)c1nc(-c2ccc(CCO)cn2)cs1,0.0
191,191,CC(CON=C1CCN(c2ncc(-c3cccc(CO)c3F)cn2)CC1)OC1CCCCO1,0.0
192,192,c1cc2c(cc1F)CCC1(CCNCC1)O2,0.0
195,195,CC(C)CC(CC(=O)O)C(=N[C@@H](Cc1ccc(OC)cc1)C(=NC)O)O,0.0
201,201,Cc1cc(N2CC[C@@H](N=C(O)OC(C)(C)C)C2)c(N)c(=NC)[nH]1,0.0
203,203,CN1C[C@H](O)C[C@H]1CCOc1cc(Cl)ccc1CCc1ccccc1,0.0
205,205,c1cc(C(F)(F)F)ncc1-c1cc(Cl)nc(Cl)c1,0.0
207,207,CN1CS(=O)c2cc(CCCCBr)ccc21,0.0
209,209,CS(=O)(=O)OCC1CC(O)=NC12CC2,0.0
210,210,CC1(C)CCC(n2c(CO)c3cccc(OC)c3n2)C1N,0.0
211,211,CC1CC(c2ccc(F)c([N+]([O-])=O)c2N)=CC(=O)C1,0.0
213,213,CNc1c(F)cc2c(c1Cl)n(-c1cc(N)c(F)cc1F)cc(C(=O)O)c2=O,0.0
214,214,c1ccc2c(c1)cccc2S(c1c2cc(OC3CCNCC3)ccc2[nH]n1)(=O)=O,0.0
216,216,c1cc(NC[C@@H]2C[C@H]3C[C@H]3CN2)ncc1C(F)(F)F,0.0
217,217,CC(N(C)c1ccc2c(c1)c(O)nc1nnc(C3CCCC3)n21)=O,0.0
218,218,CC(C)n1c(-c2c(CO)cncn2)c(F)cn1,0.0
219,219,CCC(c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCO3)nc1)O,0.0
220,220,COc1cc2c(cc1Cl)NCC(C(N1CCC(C#N)(C(c3ccc(F)cc3)(F)F)CC1)=O)O2,0.0
221,221,CC(Cc1ccc(OC)cc1)[N+](=CC(c1cccc(Br)c1)=O)[O-],0.0
222,222,CC(C)(C)[Si](C)(C)OCC/C=C/C(=NC)O,0.0
225,225,CC(=O)OCC(C)(C)C(=Nc1ccc(I)cn1)S,0.0
226,226,Cc1ccc(Cl)c(Nc2ccccc2C(=N)O)c1Cl,0.0
228,228,CNCCc1ccc(-c2ncn(-c3ccc(OC(F)(F)F)cc3)n2)cc1,0.0
230,230,c1ccc(-n2cc(Cc3nc(-c4ccc(Cl)cc4)c4c(=O)nc[nH]n34)nn2)c(F)c1,0.0
233,233,Cc1ccnc(Nc2nc(-c3cn(Cc4ccc(OC)cc4)nc3C3=CCNC3)cs2)n1,0.0
242,242,c1ccnc(CN2c3ccc(C(=N)O)cc3C3(COc4cc5c(cc43)OCCO5)C2=O)c1,0.0
243,243,c1cc(C(F)(F)F)ccc1-c1cc(C(F)(F)F)n(N)c(=O)c1,0.0
251,251,CC1(C)c2cc(-c3cc(C#N)cc(F)c3)cc(Br)c2N=C(O)O1,0.0
252,252,CC1=CCSc2c(C)cc(Br)c(C)c21,0.0
256,256,Cc1ccc(N/C=C(/C=O)[N+]([O-])=O)c(Br)c1,0.0
258,258,CC(c1ccc(Cn2ccc(=NC(/C=C/c3cccc(C(F)(F)F)c3)=O)[nH]2)o1)(F)F,0.0
259,259,CC(c1ccc2c(c1)sc(=O)n2COC)c1ccn(-c2ccc(N(C)CCO)cn2)n1,0.0
262,262,COC(c1cc2c(n(C3CCCCC3)c(-c3ccc(O)cc3)n2)s1)=O,0.0
263,263,CC(C1CCc2c3cc(Br)ccc3[nH]c2C1)(C(=O)OC)S(C)(=O)=O,0.0
264,264,CCOC(c1c(Cc2ccc(C(O)=O)cc2)c(C)n(-c2ccc(C#N)c(Cl)c2)n1)=O,0.0
265,265,Cc1ccc(-c2nc(N3CC[C@H](N)C3)on2)cc1,0.0
267,267,CCC(=O)OC(CC)OC(=NC[C@H]1CC[C@H](C(=O)O)CC1)O,0.0
270,270,COc1ccccc1C(=NCc1ccc(-c2c(C(=N)O)c(N)n(C3CCCC3)n2)cn1)O,0.0
273,273,C[C@@H](C(=O)O)OCCOCCOCC(=O)OC(C)(C)C,0.0
275,275,c1cc2c3ccc(Br)cc3oc2cc1C#N,0.0
276,276,Cn1cc2c(cc1=O)CCC(N=[N+]=[N-])C(=O)N2C,0.0
281,281,CCOC(=C)c1c(OC)c(=NC2CCC(F)(F)CC2)nc(-c2nc(C)cs2)[nH]1,0.0
284,284,COc1cc2c(cc1OC)ncc1c2c(Br)[nH]n1,0.0
286,286,CCCN1Cc2cc(Oc3cccc(C(Cl)=O)c3)ccc2NC1=N,0.0
289,289,CC(c1cccc([N+]([O-])=O)c1)n1c2cc(F)c(F)cc2oc1=O,0.0
290,290,Cc1cc2c(cc1C#N)c(-c1cncc(N)c1C(F)F)cn2CCCO,0.0
292,292,c1cc2c(ccn2-c2nccs2)cc1N1CCOc2c(c(N)ncn2)C1=O,0.0
295,295,CN(CCOC)C(COc1ccc(C2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1)=O,0.0
296,296,CC(C)Oc1cncc(-c2ccc3c(c2)c(-c2cncc(N[C@@H]4CCCNC4)n2)c[nH]3)n1,0.0
298,298,C1CC(c2ccc(F)cc2)(C2=NCCc3ccc(O)cc32)C1,0.0
300,300,CC(C)(C)OC(N1CCC(CCCCI)(F)C1)=O,0.0
301,301,c1ccc(NCc2ccncc2)c(C(=NOCc2cccc(C(N3CCC(O)C3)=O)c2)O)c1,0.0
302,302,CCc1c([N+]([O-])=O)c2cccc(-c3ccc(OC)cc3Cl)n2n1,0.0
303,303,CC(C)(C)c1cc(C(CBr)=O)cc(OCCOC)c1,0.0
304,304,CC(C)(C1(C)OCC(CCl)O1)Oc1cccc(C(F)(F)F)c1,0.0
310,310,c1cc(C(CCc2ccc(C(O)=O)cc2)NS(c2ccc(Cl)cc2)(=O)=O)cnc1,0.0
312,312,Cc1c2cc(O)c(C3c4ccccc4N(Cc4ccc(OC)cc4)C3=O)cc2on1,0.0
313,313,Cc1cccc(/C=C/C(N2CC3C(C2)C3(C)c2cccc(NS(C)(=O)=O)c2)=O)n1,0.0
314,314,CCC(CC)(c1ccc2c(c1)sc(=N)[nH]2)c1c[nH]c2c1cccc2NS(C)(=O)=O,0.0
316,316,CC1(C)O[C@@H]2[C@@H](CN(CCCCC(=O)O)S(C)(=O)=O)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O1,0.0
317,317,c1cc(-n2cnc3ccc(O)cc32)ccc1N,0.0
