fragment_id,feasible_compounds,infeasible_compounds
585106293,0,1
2924479353,2,4
3383755642,1,0
2168980351,17,15
1906836355,97,128
3807380356,0,1
3218604935,1,0
2280653706,1,0
489685903,0,1
3201303440,1,1
3301966738,1,5
2095055763,4,16
632292243,1,0
1151337367,1,0
3263169432,0,1
3471836060,2,10
1409287071,0,1
3179283362,27,16
787481507,1,0
240649127,2,2
1571816359,0,1
1601176489,8,14
2503476143,1,0
3017802672,0,5
3321365429,0,4
2550662069,0,1
649593786,1,1
2241856443,1,1
3120038844,6,7
1136657340,1,0
1909457853,1,2
4210033598,0,1
4133487553,18,36
1968178116,0,1
4219995078,2,0
2652898246,4,5
3532129222,1,0
174588873,0,1
878707656,0,2
3354919882,0,1
3021997005,118,95
2063074255,0,1
2556429268,0,1
968885207,25,48
3269460956,0,2
212337634,1,0
3243770850,1,1
770704359,0,2
3817341928,0,1
2001732585,1,0
894436332,378,577
2954888173,1,0
606077938,3,3
4201120755,1,1
2231895030,1,0
62391296,3,8
265815042,0,1
1483736067,0,1
1513096197,168,46
2479358982,0,1
1189610503,5,3
1063257096,0,3
3602908170,38,56
2992636938,1,2
2661286923,1,2
3039822861,2,2
1306002446,12,13
966263828,0,14
487064599,1,0
3599238168,1,0
1491076120,1,0
3842507802,0,1
602407963,16,9
3246392349,1,0
3975152673,0,1
348652578,1,0
1890583586,0,21
2779251745,0,1
341312553,0,2
3988259883,2,0
437257260,3,3
3781690415,269,332
1979188271,1,0
1614283824,1,0
1844970548,0,3
491783224,19,54
3203925050,65,100
1475871805,1,1
3407873086,0,1
3159884866,2,8
1140327490,0,3
4272424004,2,0
2158494787,0,1
1766327374,1,0
627049552,0,1
622330964,9,8
198706261,1885,336
2472019033,1,0
2438988889,0,1
1153434717,0,1
1839203423,1,0
913310822,320,525
3342337128,9,7
621806698,0,1
33555566,0,4
3931112559,0,2
2414871664,0,1
400032882,0,1
1025508467,0,2
1393034356,4,11
292029556,4,38
3961521270,0,1
2301101175,0,1
707789945,0,3
95945850,1,0
1152910460,6,5
1362101372,1,9
353895553,1,0
1568670852,1,0
155714697,0,1
1084228746,26,18
865600652,0,4
2327839892,0,1
1455424661,6,3
3009414294,0,1
3303015575,0,3
2433221788,0,1
3138389156,1,0
3906995365,2,0
3754951846,1,1
2578449573,4,8
476578986,13,6
1019217068,24,74
3614966957,2,12
3265791149,0,1
648021175,2,3
1717044408,1402,1305
477627577,1,2
657458359,0,1
3848275127,0,1
506987709,0,6
562562239,3,5
1386218687,1,1
1291322563,0,1
1070597316,1,0
3229091012,0,3
2575828168,1,1
4010804429,13,10
2509243604,1,1
1043858644,0,2
2817524950,1,0
2219836631,0,1
461374676,0,3
402130137,2,2
3810526425,0,1
1423967452,2,4
4204791005,0,1
3425174755,1,0
330302693,1,0
178259177,0,1
2436367594,1,0
1378354410,0,1
2062550264,23,25
1069548792,3,1
700450041,5,26
3369600249,2,1
4223141115,2,0
3513779455,0,1
370148608,2,0
1584923909,6,2
1768424713,3,1
2918712590,3,3
2386560271,10,3
2462582032,0,1
735577363,2,2
1301,4,10
3295675671,3,4
2531788057,1,0
2521302300,1,0
1400898844,0,1
717227294,0,1
2739406110,0,1
814744868,0,9
3955754277,1,2
1072170276,0,1
3476555048,1,11
1330119977,1,3
3721397545,0,3
2889352491,0,1
4208985389,2,4
2735736111,0,2
3633841456,1,0
4024960304,0,3
1555039538,0,1
2509767989,0,1
2537030966,0,1
4214228280,1,1
2117600568,0,1
3159885126,1,2
836240711,0,1
752878923,0,2
1433929038,11,12
26215770,0,1
2283275616,0,2
3682600294,4,4
3414689130,3,1
2687501674,0,1
1830290798,1,0
1440220528,9,1
3533178224,1,0
3352823154,5,0
1599604082,1,3
2355627383,1,0
3916432760,0,1
1729103225,0,6
3114272122,0,7
1532495227,3,18
2396521849,0,7
1762657656,0,1
4031251833,0,2
1116210560,0,3
120063362,1,12
358614403,41,90
2210399619,0,1
402130312,6,1
72353160,0,1
3671065997,4,5
2476213647,2,4
2727871889,1,0
1108346261,0,4
2675967384,0,1
495977886,58,16
1717568928,1,0
1508902305,1,0
2269119906,2,1
2826962337,0,3
2555381155,0,2
1252525477,0,1
4097836454,0,3
3819439527,12,17
1140327840,0,1
30410154,0,5
3819439532,0,3
1251476909,0,1
4172809646,1,0
3083339183,2,11
1152910766,1,3
1119356338,0,1
241698227,4,10
4197451188,4,1
2095580598,2,1
3857712576,5,0
2441610691,4,18
1604847045,1,1
3842508238,5,12
342885838,7,2
3013608914,3,1
893388244,6,5
2586314197,1,0
1007683032,28,12
3427796445,9,4
3866625501,0,1
3857712607,69,101
1862272485,0,1
3537896946,0,6
1575486963,0,1
963118582,0,1
2168456696,1,0
249038330,1,0
3459253759,0,1
987235844,0,5
4082632198,0,1
2870478342,0,1
2338850314,0,1
1171260942,1,0
833095187,1,0
